CAT,LIB
Income-Income,RPT-I-TRANSFERT
Fees & Charges-Commissions,DCOMMISSION / AVA
Fees & Charges-Bank products,ABONNEMENT UIB@NKING
Income-Income,DELIVRANCE BON A PAYER
Fees & Charges-Bank products,KIT OXYGENE UIBNET SMS
Income-Income,CVIRT LORO BATEAU RECU AUTRE AG
Uncategorized-Transfer,DVIR SEUIL
Income-Income,CREDIT RELAIS
Uncategorized-Transfer,DREMB AVANCE CAT
Fees & Charges-Bank products,KIT MASTERCARD NATIONAL UIBNET
Fees & Charges-credit repayment,DREG CREDOC EXP N CONF CLIENT
Fees & Charges-Bank Fees & Commissions,DSAISIE D'OBLIGATION CAUTIONNEE
Fees & Charges-Bank products,DABON CARTE PLAT. BUSINES INTER
Income-Income,VERSEMENT DEVISES
Income-Income,COMMISSIONS ETRANGER
Uncategorized-EFFET,DPROROGAT° EFFET
Fees & Charges-Bank products,JOKER PRO KIT PRO
Income-Income,CVIRT LORO & BATEAU MM AGENCE
Uncategorized-TRF,DTRF-SANS FRAIS-NEGOCIE
Uncategorized-Transfer,GRH- SALAIRES ET PRIMES
Income-Income,REGUL .ERREUR DE CAISSE
Income-Income,PROROGATION MCNE
Fees & Charges-Bank products,ABONNEMENT MASTER NAT
Fees & Charges-Bank products,ABONNEMENT CARTE CIBT
Fees & Charges-credit repayment,DREGLEMENT ECHEANCE ALTERNA
Income-Income,REGUL.INTERET PERC.AVANCE
Income-Income,EXT COM FRAIS RET GAR/CAUT
Income-Income,GRH- DIVERS RH
Uncategorized-Transfer,INTERETS / AVANCE CAT
Fees & Charges-Bank products,UIB@NKING INTRADAY MT942
Fees & Charges-Bank Fees & Commissions,DAVA FRAIS MENSUEL
Uncategorized-Transfer,DTRAITEMENTS BOURSE
Uncategorized-Uncategorized,DCUSTODY
Fees & Charges-Bank products,ABONNEMENT CARTE PLATINUM BUSI
Fees & Charges-Bank products,ABONNEMENT PLATINUM NAT
Income-Income,ESCOMPTE EFFET AUTRE AG HP
Fees & Charges-Bank Fees & Commissions,DRECHARGE GAB
Uncategorized-EFFET,DOUVER EFEET IMP DOM
Uncategorized-Uncategorized,DREG TOTAL / PART IMP KH
Uncategorized-TRF,DTRF-SGMT-VAL JOUR
Fees & Charges-Bank Fees & Commissions,SAISIE D'AVAL EN DINARS
Income-Income,AVANCE SUR CAT
Income-Income,EXTOURNE PIECE
Uncategorized-Uncategorized,DGESTION FONDS BCT / LCE
Fees & Charges-credit repayment,OUV CREDOC EXP NON CONF CLIENT
Income-Income,CCLOTURE CREDOC IMP
Fees & Charges-Bank products,ABONNEMENT MASTER INT
Fees & Charges-credit repayment,MODIF REMDOC EXP
Fees & Charges-Bank products,DPROVISION COFFRE FORT
Income-Income,CED PP RAD CONS
Uncategorized-TRF,DTRF-INTRA-NEGOCIE
Fees & Charges-Late Fee,FRAIS CONTENTIEUX
Income-Income,MODIFICATION DES CAUTIONS
Uncategorized-Check,DREG CNP CHQ N°
Fees & Charges-Bank Fees & Commissions,DRETENUE-SOURCE / PV
Fees & Charges-Bank products,UIB@NKING DEVISES MT101
Income-Income,CCHARGEMENT CARTE SALAIRE
Fees & Charges-Bank products,ABONNEMENT SAFAR CARD
Fees & Charges-Bank Fees & Commissions,SAISIE AUTRES CAUTIONNEMENTS
Income-Income,CUTILISATION CREDIT ALTERNA
Fees & Charges-Bank products,ABONNEMENT PLATINUM INTERNAT
Income-Income,ESCOMPTE AVAL AUTRE AG HP
Fees & Charges-Bank Fees & Commissions,DMODIF REMDOC IMP DOM
Income-Income,CHEQUE TRESOR
Fees & Charges-Bank products,DREFECTION CARTE OXY
Fees & Charges-credit repayment,DECHEANCE DAT NANTI
Fees & Charges-Bank Fees & Commissions,DAGIOS DU JJMMAA AU JJMMAA
Fees & Charges-Late Fee,DINT RETARD / IMP
Income-Income,COMPENSATION E-COMMERCE EN DEV
Income-Income,RG PAYE-CHQ-IMP
Fees & Charges-Bank products,CHARGEMENT CARTE MOUV
Uncategorized-TRF,DTRF/CHQ INTRA MM DEV AUTR AGE
Fees & Charges-Bank products,REFECTION CARTE KINZ
Uncategorized-Transfer,REMB AVANCE SUR BDC
Uncategorized-EFFET,DREG PAYE EFFET IMP DOM
Fees & Charges-Bank Fees & Commissions,CHQ EN TND / CPTE EN DEV
Uncategorized-TRF,DTRF-FINAN-VALEUR JOUR
Income-Income,AVANCE SUR BDC
Fees & Charges-Bank products,ABONNEMENT UIB SIOR
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES JEBEL MOUFIDA
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL JASMIN
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERMARCHE SHOPPING CLUB
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES PATISS MASMOUDI LA MARSA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LE KRAM/SODEXO
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products Station de services
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE SEMA GRAIET MONASTIR
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SIPAH REST LE PIRATE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BOUSSAFARA FATMA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS PARADIS DE LA MARSA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE JOLIESSE NEGOCE
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLINIQUE LES VIOLETTES
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE BBM RESTAURATION
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Bills and Utilities-Mobile Phone,DPAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES STE  RAIS DE COMMERCE
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE MUGUET PARFUM
Shopping-Sporting Goods,DPAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CHANGUEL KARIM
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
Health & Fitness-Medical Equipment & medical analysis,DPAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care-Spa & Massage,DPAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN GHARBI / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE 101 SARL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LA MARSA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STREET FOOD SOLUTIONS
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE FTOUH ABID
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS BEAUTY SHOP
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BELHADJ WAFA
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES PATISSERIE MASMOUDI  LA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMOUNA DE COMMERCE
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN ABDALLAH ANIS
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ENNASR MARKET/SODEXO
Personal Services-Repairs & Maintenance,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE LAQUIMCO
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES BALTI ET BALTI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE AYACHI ELYES
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PCIE SLIMANE ABDELMONEM
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ZAHOU SALEM -SUPERETTE S
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES OLFA EL GHARBI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN HASSINE AM
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC ste alliance diffusion
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE AOUANI CHERIFA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter PRET A PORTER ANGELITA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE LICOSA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter CHELBI MOHAMED AMINE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC STE PRIX CHOC __
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE SASSI JIHENE
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT PANORAMA _
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES HAFFANI MOUNA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN KAIROUAN__
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE OUERGUI
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SMUG S LAC/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  SELLAMI   MOUNIR
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  ENNASR/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS THE SQUARE / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LAOUINA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE FRIENDS COMPANY
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARTHAGE/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE DE NUIT ABOUDA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  BARDO/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY GLOBAL RETAIL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CHILIS EL MANAR / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS FAST FOOD AMIGOS/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE HAMADA  OUMELK
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS PIZZERIA HAMHAMA/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  KHEDER ET HEL
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL DAR ZAGHOUAN
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES vente de tickets restaurant
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT COIN DE LA MER
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE BACCOUCHE
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SOCIETE PRIMOSHOP
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MINI MARKET
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES SOCIÉTÉ   JOLIESSE   NÉG
Shopping-General,DPAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MELLOULI DONIA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS FOOD FASHION
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD NABEUL
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BEN MEDDEB
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ABDELLAOUI HABIB
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES ste nabeul sport
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE AV DE PARIS/SODEXO
Health & Fitness-Gym & Sports,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLUB NAUTIQUE SIDI BOU SA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT DAR BELHADJ
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT EL BACH HEFDHI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BELHEDI SEMIA
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS FOUDHAILY SHOPPING /SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES STE JOLIESSE NEGOCE
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  HANNIBAL/SODEXO
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE AROUA / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  MANOUBA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CAFE RESTAURANT L'ORIENT
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BEN MANSOUR ISKANDAR
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS STE JASMINE COSMETICS DI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MARRAKCHI CHED
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  GABES/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES OUSSEMA BEN KHALED MNEJJA
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ANOUAR MARKET/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter GLOBAL RETAIL COMPANY
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS STE BC DISTRIBUTION
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BOUAOUINA
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MALEK MBAREK ZARAA
Food & Dining-Bars,DPAIEMENT TPE PORTEUR UIB BARS LE 716
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO CHARED ZOUHAIER
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD HAMMAMET
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MI PRIX MARKET
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES JAMEL HANTATI
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMEZ
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter FIRAS ABDELAZIZ
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN BALSAM/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS PAPA JHONS FLAMINGO  SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter SOCIETE STYLE FRIPE
Shopping-Home,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES SOCIETE CHEMLI HOME
Shopping-Home,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES TISSU CHEMLI
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care-Beauty & Hair,"DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CNMT
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARREFOUR/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  SIDI KHELIFA/ SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL
